feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko04260	Enviroment	Pro-survival	-0.00524282140244964	0.00129082589717214	50	46	0.000179299718698116	0.0172127729950191
ko05012	Enviroment	Pro-survival	-0.00615705971314848	0.00147259591460156	50	50	0.000122307508751475	0.0172127729950191
ko05222	Enviroment	Pro-survival	-0.00287352218158183	0.000822190481153122	50	50	0.00103060812414211	0.0197876759835285
ko05416	Enviroment	Pro-survival	-0.00287352218158183	0.000822190481153122	50	50	0.00103060812414211	0.0197876759835285
ko05016	Enviroment	Pro-survival	-0.00373248873329285	0.00102657636801783	50	50	0.000674523403683892	0.0197876759835285
ko05210	Enviroment	Pro-survival	-0.00287352218158183	0.000822190481153122	50	50	0.00103060812414211	0.0197876759835285
ko04115	Enviroment	Pro-survival	-0.00287352218158183	0.000822190481153122	50	50	0.00103060812414211	0.0197876759835285
ko05146	Enviroment	Pro-survival	-0.00267589096934006	0.000709057516368502	50	50	0.000442063960076393	0.0197876759835285
ko05145	Enviroment	Pro-survival	-0.00287352218158183	0.000822190481153122	50	50	0.00103060812414211	0.0197876759835285
ko05010	Enviroment	Pro-survival	-0.0024734597466913	0.000664723274070176	50	50	0.00052011415082098	0.0197876759835285
ko00592	Enviroment	Pro-survival	-0.00183226782650408	0.000538755191536129	50	50	0.00136148819881395	0.0237641576520252
ko00601	Enviroment	Pro-survival	-0.00186611368430612	0.000557746727479709	50	37	0.00160009348420553	0.0256014957472884
ko00190	Enviroment	Pro-survival	-0.00427613666665928	0.00132843226672692	50	50	0.00230877812739131	0.0340988769583947
ko00720	Enviroment	Pro-survival	-0.00312604450488173	0.0010122214856756	50	50	0.00334205920605178	0.045833954825853
ko00540	Enviroment	Pro-survival	-0.00985161094632667	0.0032608212563025	50	50	0.00402857505568047	0.0515657607127101
ko00591	Enviroment	Pro-survival	0.00108822187259339	0.000384561813802985	50	50	0.00678129090501402	0.0747080638553609
ko00363	Enviroment	Pro-survival	0.00109641136006101	0.000386331694074941	50	50	0.00663363991922043	0.0747080638553609
ko00030	Enviroment	Pro-survival	0.00249659405601905	0.000886050270296992	50	50	0.00700388098644008	0.0747080638553609
ko00100	Enviroment	Pro-survival	0.00263330673391799	0.000965708728879831	50	32	0.00890311576222232	0.0899683277024571
ko05200	Enviroment	Pro-survival	-0.00122811472947764	0.000454592708132893	50	50	0.00950934477483885	0.091289709838453
ko00450	Enviroment	Pro-survival	-0.00157536382897367	0.000592065761452116	50	50	0.0105694431160515	0.0966349084896138
ko04113	Enviroment	Pro-survival	-0.00193876227400435	0.00075269399328725	50	49	0.0131363236904079	0.114644279479924
ko05111	Enviroment	Pro-survival	-0.000887475427084886	0.000348561955710618	50	50	0.0141577593548821	0.118186512875538
ko04146	Enviroment	Pro-survival	-0.00254820324837787	0.00101046418679211	50	50	0.0150475897053859	0.119039399741582
ko00130	Enviroment	Pro-survival	-0.0049512270203325	0.00197262942391742	50	50	0.0154999218413518	0.119039399741582
ko00020	Enviroment	Pro-survival	-0.00354342732795235	0.00143426345735149	50	50	0.0170940993012442	0.126233348686111
ko00510	Enviroment	Pro-survival	-0.00155104482373922	0.000635688144367753	50	50	0.0184331605485265	0.131080252789522
ko00500	Enviroment	Pro-survival	0.00230288547029052	0.000960364678335726	50	50	0.0204254746637414	0.140060397694227
ko03070	Enviroment	Pro-survival	-0.00103595102994447	0.000442551976393518	50	50	0.0234413673745622	0.151187825664012
