feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY0.1241	Environment	Pro-survival	-0.0114788743121264	0.0023517503267481	50	50	1.20761063197096e-05	0.00371944074647056
PWY.4984	Environment	Pro-survival	-0.0134228603741176	0.00338324694421919	50	50	0.000241619277908695	0.0186046843989695
PWY.7373	Environment	Pro-survival	-0.0115575427548655	0.00278328274614717	50	29	0.000134088978523111	0.0186046843989695
PWY0.781	Environment	Pro-survival	-0.0109186166738219	0.00269506592785865	50	50	0.000185253002397049	0.0186046843989695
PPGPPMET.PWY	Environment	Pro-survival	-0.0124326429864798	0.00334752320163907	50	38	0.000531487840989822	0.0204622818781081
PWY.3781	Environment	Pro-survival	-0.0136774786034969	0.0035409398129437	50	50	0.000335605799094045	0.0204622818781081
PWY.5747	Environment	Pro-survival	-0.00866930466248356	0.00228160689713181	50	38	0.000408199839666074	0.0204622818781081
PWY0.42	Environment	Pro-survival	-0.00852026327095977	0.00228241839442999	50	38	0.000501361174587918	0.0204622818781081
PWY0.1586	Environment	Pro-survival	0.00992882026832428	0.0027169032037236	50	50	0.00063744446858739	0.021814766258324
HEMESYN2.PWY	Environment	Pro-survival	-0.0083063104398413	0.00237568542478015	50	50	0.00102623800925652	0.0295814833021825
P4.PWY	Environment	Pro-survival	-0.00880879248584177	0.00259214285300922	50	50	0.0013721876648585	0.0295814833021825
PHOSLIPSYN.PWY	Environment	Pro-survival	0.00300854075463059	0.000889656969147202	50	50	0.00144065665432707	0.0295814833021825
PWY.6317	Environment	Pro-survival	0.00531126592862897	0.00154678334765584	50	50	0.00123591570898552	0.0295814833021825
PWY.7254	Environment	Pro-survival	-0.0123082550922791	0.00363463437526707	50	47	0.00142094887880368	0.0295814833021825
REDCITCYC	Environment	Pro-survival	-0.0118949771023514	0.00348927380398282	50	50	0.00132947825615599	0.0295814833021825
PWY.6641	Environment	Pro-survival	-0.00160088499656673	0.000479625948001284	50	21	0.00163800521666751	0.0315316004208495
